adding.1	F ("c==17")
adding.2	F ("c==500")
adding.3	F ("c==637")
adding.4	F ("c==749")
adding.5	F ("c==849")
adding.6	F ("c==949")
anderson.1	G((P_0.p1|P_0.p2|P_0.p3) -> F(P_0.CS))
anderson.1	G(!P_0.CS -> F(P_0.CS))
anderson.1	GF(P_0.CS|P_1.CS)
anderson.2	G((P_0.p1|P_0.p2|P_0.p3) -> F(P_0.CS))
anderson.2	G(!P_0.CS -> F(P_0.CS))
anderson.2	GF(P_0.CS|P_1.CS|P_2.CS)
anderson.3	G((P_0.p1|P_0.p2|P_0.p3) -> F(P_0.CS))
anderson.3	G(!P_0.CS -> F(P_0.CS))
anderson.3	GF(P_0.CS|P_1.CS|P_2.CS)
anderson.4	G((P_0.p1|P_0.p2|P_0.p3) -> F(P_0.CS))
anderson.4	G(!P_0.CS -> F(P_0.CS))
anderson.4	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS)
anderson.5	G((P_0.p1|P_0.p2|P_0.p3) -> F(P_0.CS))
anderson.5	G(!P_0.CS -> F(P_0.CS))
anderson.5	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS)
anderson.6	G((P_0.p1|P_0.p2|P_0.p3) -> F(P_0.CS))
anderson.6	G(!P_0.CS -> F(P_0.CS))
anderson.6	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS|P_5.CS)
anderson.7	G((P_0.p1|P_0.p2|P_0.p3) -> F(P_0.CS))
anderson.7	G(!P_0.CS -> F(P_0.CS))
anderson.7	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS|P_5.CS)
anderson.8	G((P_0.p1|P_0.p2|P_0.p3) -> F(P_0.CS))
anderson.8	G(!P_0.CS -> F(P_0.CS))
anderson.8	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS|P_5.CS|P_6.CS)
at.1	G ((P_0.p3 ) -> F ((P_0.CS )))
at.1	G((!(P_0.CS )) -> F (P_0.CS ))
at.1	GF(P_0.CS|P_1.CS|P_2.CS)
at.2	G ((P_0.p3 ) -> F ((P_0.CS )))
at.2	G((!(P_0.CS )) -> F (P_0.CS ))
at.2	GF(P_0.CS|P_1.CS|P_2.CS)
at.3	G ((P_0.p3 ) -> F ((P_0.CS )))
at.3	G((!(P_0.CS )) -> F (P_0.CS ))
at.3	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS)
at.4	G ((P_0.p3 ) -> F ((P_0.CS )))
at.4	G((!(P_0.CS )) -> F (P_0.CS ))
at.4	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS)
at.5	G ((P_0.p3 ) -> F ((P_0.CS )))
at.5	G((!(P_0.CS )) -> F (P_0.CS ))
at.5	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS)
at.6	G ((P_0.p3 ) -> F ((P_0.CS )))
at.6	G((!(P_0.CS )) -> F (P_0.CS ))
at.6	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS)
at.7	G ((P_0.p3 ) -> F ((P_0.CS )))
at.7	G((!(P_0.CS )) -> F (P_0.CS ))
at.7	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS|P_5.CS)
bakery.1	G ((P_0.choose|P_0.for_loop|P_0.wait ) -> F((P_0.CS )) )
bakery.1	G((!(P_0.CS )) -> F (P_0.CS ))
bakery.1	GF(P_0.CS|P_1.CS)
bakery.2	G ((P_0.choose|P_0.for_loop|P_0.wait ) -> F((P_0.CS )) )
bakery.2	G((!(P_0.CS )) -> F (P_0.CS ))
bakery.2	GF(P_0.CS|P_1.CS)
bakery.3	G ((P_0.choose|P_0.for_loop|P_0.wait ) -> F((P_0.CS )) )
bakery.3	G((!(P_0.CS )) -> F (P_0.CS ))
bakery.3	GF(P_0.CS|P_1.CS|P_2.CS)
bakery.4	G ((P_0.choose|P_0.for_loop|P_0.wait ) -> F((P_0.CS )) )
bakery.4	G((!(P_0.CS )) -> F (P_0.CS ))
bakery.4	GF(P_0.CS|P_1.CS|P_2.CS)
bakery.5	G ((P_0.choose|P_0.for_loop|P_0.wait ) -> F((P_0.CS )) )
bakery.5	G((!(P_0.CS )) -> F (P_0.CS ))
bakery.5	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS)
bakery.6	G ((P_0.choose|P_0.for_loop|P_0.wait ) -> F((P_0.CS )) )
bakery.6	G((!(P_0.CS )) -> F (P_0.CS ))
bakery.6	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS)
bakery.7	G ((P_0.choose|P_0.for_loop|P_0.wait ) -> F((P_0.CS )) )
bakery.7	G((!(P_0.CS )) -> F (P_0.CS ))
bakery.7	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS)
bakery.8	G ((P_0.choose|P_0.for_loop|P_0.wait ) -> F((P_0.CS )) )
bakery.8	G((!(P_0.CS )) -> F (P_0.CS ))
bakery.8	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS)
blocks.2	F(Hand.done)
blocks.3	F(Hand.done)
blocks.4	F(Hand.done)
bopdp.1	G ( (("sleeping==0") & ("sleep_op==0")) -> ((!("sleep_op==0")) R (("sleeping==0") | (! ("sleep_op==0")))) )
bopdp.1	G ((IOP.active ) -> ((IOP.stand_by ) R ((!(IOP.noise )) | (IOP.stand_by ))))
bopdp.1	G ( (("sleeping==0") & ("lsl_interrupt==1" | "ap_interrupt==1" )) -> ((! ("lsl_interrupt==1" | "ap_interrupt==1" )) R (("sleeping==0" ) | (! ("lsl_interrupt==1" | "ap_interrupt==1" )))) )
